TICKER|COMPANY|TRADES|LAST_PRICE|PRICE_CHANGE
PMAM3|Paranapanema|80541400|0.41|-16.33
B3SA3|B3|57684700|17.29|-1.98
PETR4|Petrobras|40391600|48.42|+0.69
CSNA3|Siderúrgica Nacional|35630700|7.11|+7.40
BBAS3|Banco do Brasil|30236100|22.18|-1.86
BBDC4|Banco Bradesco|30056500|17.79|-2.36
MGLU3|Magazine Luiza|29970400|5.57|-4.46
ITUB4|Itaú Unibanco|29329700|41.59|-1.98
COGN3|Cogna|28063900|2.37|-3.27
CSAN3|Cosan|24601200|3.79|-3.07
ITSA4|Itaúsa|24334900|13.91|-1.97
ABEV3|Ambev|22611500|15.58|-1.52
BRSR6|Banrisul|21142000|15.01|+1.28
CVCB3|CVC|19835700|1.65|-9.84
RAIZ4|Raízen|19647100|0.26|-7.14
VALE3|Vale|19118100|79.10|+0.10
LREN3|Lojas Renner|17256600|11.34|-2.41
VAMO3|Grupo Vamos|16415400|3.37|-4.53
CMIG4|Cemig|16040600|11.33|-3.16
BEEF3|Minerva|15318800|3.95|-0.25
PRIO3|PetroRio|15138900|62.52|+0.84
AXIA3|Axia Energia|13335500|55.08|-1.87
USIM5|Usiminas|13235500|7.63|+0.93
CPLE3|Copel|13105600|15.98|-0.12
POMO4|Marcopolo|12839500|4.46|-2.83
BPAC11|Banco BTG Pactual|12264400|59.06|-2.43
SBSP3|Sabesp|12181700|26.70|-0.48
MOTV3|Motiva|11929200|16.38|+0.61
RAIL3|Rumo|11290900|14.50|-0.34
VBBR3|Vibra Energia|10896700|37.95|+1.23
YDUQ3|YDUQS|10288300|10.20|+2.51
CYRE3|Cyrela|10080500|25.11|-1.68
DIRR3|Direcional|9907400|10.93|-4.37
GGBR4|Gerdau|9746900|25.41|-1.13
CMIN3|CSN Mineração|9244700|6.96|+3.57
SLCE3|SLC Agrícola|8937200|17.88|+6.11
RDOR3|Rede D'Or|8738800|36.93|-1.41
BBDC3|Banco Bradesco|8701800|15.83|-1.31
UGPA3|Ultrapar|8563300|38.40|+0.95
ONCO3|Oncoclínicas|8411600|1.17|-2.50
HAPV3|Hapvida|8138600|7.00|-2.64
WEGE3|WEG|8047200|51.69|-1.82
PETR3|Petrobras|7943200|53.69|+0.85
EQTL3|Equatorial Energia|7564100|38.81|-1.12
TIMS3|TIM|7210700|19.39|+1.47
RENT3|Localiza|7117400|35.72|-3.07
MRVE3|MRV|7111800|5.64|-2.93
BBSE3|BB Seguridade|6808900|40.91|-3.40
PGMN3|Pague Menos|6757800|3.73|-4.36
RADL3|RaiaDrogasil|6662700|19.60|-4.02
SMFT3|Smart Fit|6626600|17.65|-1.67
SAUD3|Odontoprev|6525900|14.60|-2.08
